,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint,Efa (eV/atom)
A1 NumberofProtons,1.0,0.7483347761860917,-0.026717248875481395,0.13855518443702444,0.1390007734947199,0.23663767370130517,0.05331806577940878,0.9930971665447103,0.7351092318797288,-0.02690810531403837,0.13772911566271095,0.13802978064895044,0.2416676484232218,0.057540365798358716,0.9753673831198395,0.7500873859263522,-0.017002126709774443,0.13399096546087186,0.13481290509401103,0.21523423349854312,0.03994247607295899,-0.80206059111149,-0.6268047242797131,0.03764750651831737,-0.09533208328178026,-0.0965234082546795,-0.15199361746550658,-0.012556976305055128,0.9666908148308918,0.7183527231886385,-0.0022825492773634495,0.15227898468989431,0.15227971820801128,0.2567773610973606,0.06509020108845806,0.9445817952550831,0.733804826798023,0.031717730306829034,0.1164683094199327,0.11771533115898516,0.17032749006219747,0.01620595090272612,-0.9168162644663178,-0.7180538230586225,-0.006639455558121436,-0.1128755208688899,-0.11426268177053271,-0.15282992165098566,-0.005590985083612105,0.9978125992573487,0.7417318580442941,-0.026590373180482883,0.13778904227784824,0.1381589867147453,0.23918160795293325,0.055546498678165565,-0.8637253466377008,-0.6775685398928754,0.03212639850089389,0.128656811162347,0.1295227454671499,0.20887057198342152,0.03753253176949148,-0.39561737888345516
A2 NumberofProtons,0.7483347761860917,1.0,0.07561958329880324,0.13164605603642454,0.13164500589182315,0.2948880973149527,0.03916598642025775,0.7573040404174453,0.9944721427117799,0.07586096106955227,0.13038647641973256,0.13038454176626563,0.29975673725971236,0.04553967111702282,0.7008673997038438,0.9763544948304222,0.06349786355191007,0.13003113390705212,0.13001333376061677,0.2735133184026949,0.020916237211884802,-0.5096118762164825,-0.7757733553829919,-0.06290057066116915,-0.10503887566645216,-0.10479558760775771,-0.21049665081739008,0.007450792788970363,0.714445558492659,0.9720539660082204,0.04205397896956528,0.1378909598205309,0.1378909889336898,0.3102140117311192,0.05306138388545196,0.691223939706727,0.9438645478716435,-0.01780322982604618,0.11899146673593765,0.11885681635667761,0.22653371280951753,-0.008302433538214578,-0.6525882769713915,-0.9093091242408534,-0.004383821777060601,-0.11593499323733587,-0.1157459809911451,-0.20608687895710454,0.022299626517472065,0.7550339636964274,0.9982140617057824,0.07559143949492594,0.1307912261980284,0.13078916071965987,0.2974592840069544,0.04261344738683569,-0.5727402956946399,-0.8493657251812249,-0.06537301330728039,0.12677825350644473,0.12674125987923823,0.26789510552963564,0.018862595600883932,-0.409568420230206
B NumberofProtons,-0.026717248875481395,0.07561958329880324,1.0,-0.01614393901970594,-0.013227774788814364,0.06006928843822907,0.10800708655618624,-0.006816067363421637,0.09192804539941211,0.9987412809247895,-0.01991179641590135,-0.017942185378013693,0.05863176226974274,0.10859618832273553,-0.06373344083602947,0.03577847433627745,0.957122349072301,-0.008366632076074779,-0.0028103697347316484,0.05836642362267625,0.10291313557633301,0.13819334747850362,0.0619470287527189,-0.7994523124622861,0.010685624027061922,0.000852092943035451,-0.029217459189370285,-0.07821720882374937,-0.045581661484971885,0.07399882070508698,0.6433004768882429,-0.015354370196526372,-0.015349886363544592,0.07173246880975861,0.11366982217813387,-0.04524955991563421,0.039893259202761266,0.1988831767050638,7.050658447886898e-05,0.009420903293958569,0.047907388332502444,0.08768692477007363,0.06744615191496832,-0.014067176751914882,-0.1362305507835211,-0.007368081454494703,-0.01807591111731061,-0.048192009104258166,-0.08093613838748946,-0.015420000424660912,0.08548750158688789,0.9994645914505718,-0.018375062320144474,-0.0159492698480242,0.058977668036914364,0.10823871222661376,0.11955207104939833,0.03407086654979706,-0.6451073753073611,-0.010046975566844337,-0.004038120371366289,0.05372851406541013,0.10044837438836887,-0.041833212187751816
X1 NumberofProtons,0.13855518443702444,0.13164605603642454,-0.01614393901970594,1.0,0.9996639396633566,0.6230752740964611,0.5667501136056511,0.1157062962288015,0.12595711524319012,-0.0163057242584978,0.9981381048504628,0.9979085793459187,0.6389901905323878,0.5531387856348287,0.17864324244724852,0.14442621550769497,-0.006653110047084597,0.9882450975814913,0.987488430666948,0.5699805665857132,0.5997772613270131,-0.2248818960414283,-0.14800467671370085,0.033449367750971404,-0.9147464738646577,-0.9122049582497894,-0.4626656655131895,-0.6320601250350207,0.13081397264184175,0.11012304322516768,0.0073346191495195666,0.9847742443552253,0.9847738207682096,0.6426440730169906,0.5091039716251722,0.17312130141140727,0.14244722522877462,0.036597483952388286,0.9310339410546659,0.9290684066714706,0.46827009003760456,0.6268085513395155,-0.1926513130655986,-0.14734492841632102,-0.0094832106497791,-0.8901125464404955,-0.8875229922210988,-0.41533127668964803,-0.619252152230611,0.1255682298804917,0.12786934050424814,-0.015969009743319204,0.9994260745866869,0.9991439444194063,0.6320928753638289,0.5601132087058506,-0.2175261977049499,-0.14767120290764021,0.026048972181541813,0.9852646709177605,0.9843687698761298,0.5641502954422328,0.6076267377475352,-0.3299563530840763
X2 NumberofProtons,0.1390007734947199,0.13164500589182315,-0.013227774788814364,0.9996639396633566,1.0,0.6248747523467083,0.5695060362047013,0.11584345116564772,0.1257251430488608,-0.013337574575906796,0.9979086800488259,0.9981340164722545,0.6407273326655885,0.5559220838592523,0.17968018190144808,0.14493217054761082,-0.004187856831948983,0.9876386769581743,0.988157130180783,0.5717899390391493,0.6024621250970958,-0.2263753046528005,-0.14903356127305312,0.0318286800203793,-0.9138332749142403,-0.9135480119788701,-0.4637388285732326,-0.6347320325366137,0.13079312961409342,0.10970010270093156,0.00959330600240218,0.9846700755300373,0.9846706859240769,0.6447053126211484,0.5116962690782068,0.1745112909170027,0.14330287374738782,0.036861888139298964,0.9300723704804595,0.9302434928071709,0.46985949967486057,0.6293137234214673,-0.19428614906612038,-0.14844546171687134,-0.009702663477115365,-0.8889961287063424,-0.8888461929397603,-0.41695176337527345,-0.621541221358452,0.12583704535527912,0.12773304185355833,-0.013016993382670991,0.9991473431550145,0.9994249591464697,0.6338503445701379,0.5628893939642785,-0.21900499619849034,-0.14865358025768527,0.024668772791281674,0.9846358790830637,0.9851198366851859,0.565838754674035,0.6103523213003459,-0.3309660227129278
X3 NumberofProtons,0.23663767370130517,0.2948880973149527,0.06006928843822907,0.6230752740964611,0.6248747523467083,1.0,0.7463434976277457,0.23337429828523068,0.30060547541155935,0.05986668761148263,0.6190696732519101,0.6202832383733969,0.9975983227108218,0.7449086522467292,0.23353096753625258,0.2761816855958434,0.056045342997122743,0.6212348738702228,0.6245903025702266,0.9839796786765416,0.7375754741342181,-0.19514724964190366,-0.1923516049906261,-0.039082818720814365,-0.5714330524917932,-0.5766031812884085,-0.8826519219224278,-0.6684166786577321,0.2285361028349261,0.27232369047034966,0.04240793641861569,0.6147737112240543,0.6147765389429606,0.978852573918498,0.7323302078358704,0.22753673177980033,0.26974839171392695,0.0062957286654012,0.5906880234960131,0.5958953000506442,0.9079583823603005,0.6864119215711576,-0.22214072100951485,-0.25275194643963533,-0.011761990824390703,-0.5702170322785625,-0.5759672546348332,-0.8618054069299345,-0.6474297405375391,0.23524845640994313,0.2981286549625313,0.05992476695111438,0.6210217592338684,0.6225168361554296,0.9992952169571596,0.7459142392338731,-0.20972273858595386,-0.21782221743791946,-0.05000321724220152,0.6178525972096761,0.6214312337528892,0.9788255152584759,0.7351666005835521,-0.2966983648670859
X4 NumberofProtons,0.05331806577940878,0.03916598642025775,0.10800708655618624,0.5667501136056511,0.5695060362047013,0.7463434976277457,1.0,0.05123518747063904,0.05494118799943123,0.1085713176769896,0.5606091888214229,0.5624679335654109,0.7377779849588137,0.9982054767169515,0.05494938317381561,0.008434823486465712,0.09178612063303093,0.566291889188449,0.5714712733954014,0.753481551835542,0.987276561463256,-0.013094668856632527,0.09986181238366933,-0.08249561727674534,-0.49277456961882454,-0.5011424054318566,-0.7105684934647906,-0.8896730506938042,0.016853924232024895,-0.010687808314817651,0.06594547825765888,0.5741597837753978,0.5741641101941327,0.7087662989133112,0.9837647564732984,0.08589242603613978,0.042069682540108594,-0.015425024960743411,0.5335093518356804,0.5417929633167428,0.7237350229205024,0.9164596254322559,-0.08033326955301903,-0.018953734880373888,-0.008050527132053011,-0.5202584588337069,-0.5295621856099435,-0.6979528045747461,-0.8641319811401185,0.05231471985291282,0.04786670233134133,0.10819518281640021,0.5630831367055901,0.5653729026944304,0.7423432367954509,0.9994420891767279,-0.030507844462890732,0.06827411964779187,-0.08532392157190193,0.5577561767660179,0.5632987847378714,0.7533191016347607,0.9832923735681124,-0.13942050895683425
A1 NumberofNeutrons,0.9930971665447103,0.7573040404174453,-0.006816067363421637,0.1157062962288015,0.11584345116564772,0.23337429828523068,0.05123518747063904,1.0,0.7543143287733427,-0.006902147696516816,0.1145642324017629,0.11465592425427057,0.23753843939901653,0.055017404087570713,0.9429208560917687,0.7373711937890748,-0.0015324432044600891,0.11141528156918609,0.11165449966072732,0.21293104541003735,0.037042983007514234,-0.7335394523622545,-0.5784141246447181,0.0178709887678284,-0.06921792964313529,-0.06938715646432757,-0.14384992178615505,0.003214281384533684,0.9606804161016721,0.7318837650665386,0.006149765203767283,0.13258339019694995,0.13258365359301563,0.25683244396822136,0.06950865539238262,0.9099336833672329,0.7154008651403523,0.021569761973443385,0.09403493734347504,0.09431663066499149,0.16783780397410025,0.009506993733683433,-0.8692514479280392,-0.6877407577876121,-0.005932179766712778,-0.09219329112994125,-0.09248946883124898,-0.15210572072882542,-0.0002899000877885926,0.9986686897833637,0.7565821286657963,-0.006708748476597194,0.11468031026441661,0.11479315993171818,0.2353355645580002,0.05305451521798692,-0.8016242505005621,-0.6360530815305875,0.013301971095047448,0.10517084170437734,0.10540534668438155,0.205275515086862,0.032387914975241766,-0.375874849503013
A2 NumberofNeutrons,0.7351092318797288,0.9944721427117799,0.09192804539941211,0.12595711524319012,0.1257251430488608,0.30060547541155935,0.05494118799943123,0.7543143287733427,1.0,0.09225935412200917,0.12469703716085159,0.12453886050923718,0.30490808382065926,0.06069093343579677,0.6686905938699553,0.9484060505892874,0.07642468391100044,0.12385827056623186,0.12340144065720779,0.27971489895893165,0.03654485239376354,-0.45062249142686556,-0.7118565319759589,-0.07824014595515698,-0.09533957440716959,-0.09431285021762406,-0.21223011542788348,0.0024345425289932737,0.7021329309799936,0.9689676749503288,0.04966666511938762,0.13450746481972317,0.13450714328527505,0.317857427941561,0.07297371469947325,0.6585460232854288,0.9117573823794323,-0.02476841345885656,0.11165713525459513,0.11078515965185008,0.232030592727699,0.0042227675586469435,-0.6102608415915417,-0.8650736912728688,-0.0041861112451895815,-0.10900547065873412,-0.10797748474448425,-0.21234014915339253,0.009137621931707774,0.7475919558483742,0.9989602706426969,0.09189684670211987,0.12504953087903845,0.12485512387672065,0.30280300217505485,0.057927579779655604,-0.5187093970483319,-0.7919104096503085,-0.0801527267473479,0.11996098909041975,0.1194476201727244,0.2732420433382851,0.0327725284408507,-0.3819973163569807
B NumberofNeutrons,-0.02690810531403837,0.07586096106955227,0.9987412809247895,-0.0163057242584978,-0.013337574575906796,0.05986668761148263,0.1085713176769896,-0.006902147696516816,0.09225935412200917,1.0,-0.020006708157534553,-0.018001861149837046,0.058447397695313465,0.10918504679115261,-0.06412515052317579,0.03579645236161683,0.9509949042948403,-0.008711825764979635,-0.0030573355423679,0.05806604301255179,0.10341699331250749,0.13893998429695137,0.06240442348301792,-0.778106329555647,0.011316687057711942,0.0013099789154601413,-0.028511224714752086,-0.07869297100649415,-0.0458054235183375,0.07430378740153074,0.6300213443848388,-0.015320787678908229,-0.015316223492395338,0.07178996269145596,0.11421967160159122,-0.045580202877686875,0.03990268333385893,0.20634827125968075,-0.0005348950822853689,0.008979374987219903,0.04742328211288363,0.08809429338203673,0.06789041975047545,-0.013939909221176624,-0.1511831107812743,-0.006666898838264341,-0.017561598509971178,-0.04771085296926603,-0.08126250994608179,-0.015550436029168365,0.08578424980048213,0.999830472360802,-0.018502001064117243,-0.01603287985621923,0.05877982934268019,0.10881787870051017,0.12021292126384395,0.03439612416139168,-0.6398901096815415,-0.010421311135937989,-0.004306211469592946,0.053361037136773065,0.1009625579178069,-0.03974764082729524
